//ID#Nome_do_Sprite#							Nome da Ilustracao (kRO)		Nome da Carta (bRO)
4001#Poring_Card#						//		Æ÷¸µÄ«µå					|		Carta Poring
4550#Upd_Bow_Guardian_Card#				//		°­È­º¸¿ì°¡µð¾ðÄ«µå				|		Upd Bow Guardian Card
4552#Manny_Card#						//		¸Å´ÏÄ«µå					|		Manny Card
4553#Sid_Card#							//		½ÃµåÄ«µå					|		Sid Card
4554#Diego_Card#						//		µð¿¡°íÄ«µå					|		Diego Card
4555#Scrat_Card#						//		½ºÅ©·§Ä«µå					|		Scrat Card
4556#Fenrir_Card#						//		Ææ¸±Ä«µå					|		Fenrir Card
4557#Weakened_Fenrir_Card#				//		¾àÈ­µÈÆæ¸±Ä«µå ~ Ææ¸±Ä«µå_		|		Weakened Fenrir Card
4559#Evil_Morocc_Card#					//		Àý¸ÁÀÇ½Å¸ð·ÎÅ©Ä«µå				|		Evil Morocc Card
4560#Clown_Alphoccio_Card#				//		Å©·Î¿îÄ«µå					|		Clown Alphoccio Card
4561#Professor_Celia_Card#				//		ÇÁ·ÎÆä¼­Ä«µå					|		Professor Celia Card
4562#Champion_Chen_Card#				//		Ã¨ÇÇ¾ðÄ«µå					|		Champion Chen Card
4563#Creator_Flamel_Card#				//		Å©¸®¿¡ÀÌÅÍÄ«µå				|		Creator Flamel Card
4564#Stalker_Gertie_Card#				//		½ºÅäÄ¿Ä«µå					|		Stalker Gertie Card
4565#Paladin_Randel_Card#				//		ÆÈ¶óµòÄ«µå					|		Paladin Randel Card
4566#Gypsy_Trentini_Card#				//		Áý½ÃÄ«µå					|		Gypsy Trentini Card
4567#Alphoccio_Card#					//		¾Æ¸£º¸Ä¡¿À¹Ù½ÇÄ«µå				|		Alphoccio Card
4568#Celia_Card#						//		½Ç¸®¾Æ¾Ëµ¥Ä«µå				|		Celia Card
4569#Chen_Card#							//		Ã¾¸®¿ìÄ«µå					|		Chen Card
4570#Flamel_Card#						//		ÇÃ¶ó¸áÀÌ¹ÄÄ«µå				|		Flamel Card
4571#Gertie_Card#						//		°ÅÆ¼À§Ä«µå					|		Gertie Card
4572#Randel_Card#						//		·£´Þ·Î·»½ºÄ«µå				|		Randel Card
4573#Trentini_Card#						//		Æ®·»Æ¼´ÏÄ«µå					|		Trentini Card
4574#Daehyon_Card#						//		Àå±º´ëÇöÄ«µå					|		General Daehyon Card
4575#Soheon_Card#						//		È£À§¹«»ç¼ÒÇöÄ«µå				|		Armed Guard Soheon Card
4576#Gioia_Card#						//		Áö¿ÀÀÌ¾ÆÄ«µå					|		Gioia Card
4577#Elvira_Card#						//		¿¤ºñ¾ÆÄ«µå					|		Elvira Card
4578#Pyuriel_Card#						//		Å»¶ôÀÚÇ»¸®¿¤Ä«µå				|		Angry Student Pyuriel Card
4579#Lola_Card#							//		¿©Àü»ç·Î¶óÄ«µå				|		Warrior Lola Card
4580#Kades_Card#						//		¼öÈ£ÀÚÄ«µ¥½ºÄ«µå				|		Dark Guardian Kades Card
4581#Rudo_Card#							//		·çµµÄ«µå					|		Rudo Card
4582#Bungisngis_Card#					//		ºØÀÌ½ÂÀÌ½ºÄ«µå				|		Bungisngis Card
4583#Engkanto_Card#						//		¿¨ÄÁÅäÄ«µå					|		Engkanto Card
4584#Manananggal_Card#					//		¸Ó³Ê³Õ°ÉÄ«µå					|		Manananggal Card
4585#Mangkukulam_Card#					//		¸ÛÄíÄí·³Ä«µå					|		Mangkukulam Card
4586#Tikbalang_Card#					//		Æ½¹ö··Ä«µå					|		Tikbalang Card
4587#Tiyanak_Card#						//		Æ¼¾ï†¤Ä«µ?					|		Tiyanak Card
4588#Wakwak_Card#						//		pŸpÄ«µå					|		Wakwak Card
4589#Jejeling_Card#						//		Á¦Á¦¸µÄ«µå					|		Jejeling Card
4590#Bangungot_Card#					//		º¡¿õ°÷Ä«µå					|		Bangungot Card
4591#Bakonawa_Card#						//		¹öÄÚ³Ê¿öÄ«µå					|		Bakonawa Card
4592#Buwaya_Card#						//		ºÎ¿ö¿©Ä«µå					|		Buwaya Card
4593#Menblatt_Card#						//		¸Çºí¸´Ä«µå					|		Menblatt Card
4594#Petal_Card#						//		ÆäÅ»Ä«µå					|		Petal Card
4595#Cenere_Card#						//		Ã¼³×·¹Ä«µå					|		Cenere Card
4596#AntiqueBook_Card#					//		ÈÑ¼ÕµÈ°í¼­Ä«µå				|		Antique Book Card
4597#LichternB_Card#					//		ÆÄ¶û¸®È÷Å×¸¥Ä«µå				|		Lichtern Blue Card
4598#LichternG_Card#					//		°¥»ö¸®È÷Å×¸¥Ä«µå ~ ÃÊ·Ï¸®È÷Å×¸¥Ä«µå	|		Lichtern Green Card
4599#LichternR_Card#					//		»¡°­¸®È÷Å×¸¥Ä«µå				|		Lichtern Red Card
4600#LichternY_Card#					//		°¥»ö¸®È÷Å×¸¥Ä«µå ~ ÃÊ·Ï¸®È÷Å×¸¥Ä«µå	|		Lichtern Yellow Card
4601#Amdarais_Card#						//		¾Ï´Ù¶óÀÌ½ºÄ«µå				|		Amdarais Card
4602#Realized_Amdarais_Card#			//		°¢¼º¾Ï´Ù¶óÀÌ½ºÄ«µå				|		Realized Amdarais Card
4603#Corruption_Root_Card#				//		Å¸¶ôÇÑ»Ñ¸®Ä«µå				|		Corruption Root Card
4604#Realized_Corruption_Root_Card#		//		°¢¼ºÅ¸¶ôÇÑ»Ñ¸®Ä«µå				|		Realized Corruption Root Card
4605#UndeadKnightM_Card#				//		°íÅëÀÇ±â»çÄ«µå				|		Agony Of Royal Knight Card
4606#UndeadKnightF_Card#				//		¿øÇÑÀÇ±â»çÄ«µå				|		Grudge of Royal Knight Card
4607#FaithfulManager_Card#				//		¼º½ÇÇÑ´«µ¿ÀÚÄ«µå				|		Faithful Manager Card
4608#White_Knight_Card#					//		¹é»öÀÇ±â»ç´ÜÄ«µå				|		White Knight Card
4609#Khalitzburg_Knight_Card#			//		Ä®¸®Ã÷±â»ç´ÜÄ«µå				|		Khalitzburg Knight Card
4610#Sarah_Card#						//		»ç¶óÄ«µå					|		Sarah Card
//4623#Sem_DB#							//		11ÁÖ³âÄ«µå					|
//4624#Sem_DB#							//		Å¸¿À±ºÄ«Ä«µå					|
4625#Time_Holder_Card#					//		Å¸ÀÓÈ¦´õÄ«µå					|		Timeholder Card
4626#Big_Ben_Card#						//		ºòº¥Ä«µå					|		Big Ben Card
4627#Big_Bell_Card#						//		ºòº§Ä«µå					|		Big Bell Card
4628#Neo_Punk_Card#						//		³×¿ÀÆãÅ©Ä«µå					|		Neo Punk Card
4629#Arc_Elder_Card#					//		¾ÆÅ©¿¤´õÄ«µå					|		Arc Elder Card
4630#Nightmare_Timer_Keeper_Card#		//		Å¸ÀÓÅ°ÆÛÄ«µå					|		Time Keeper Card
4631#Owl_Viscount_Card#					//		¾Æ¿ï¹ÙÀÌÄ«¿îÆ®Ä«µå				|		Owl Viscount Card
4632#Owl_Marquees_Card#					//		¾Æ¿ï¸¶Äû½ºÄ«µå				|		Owl Marquees Card
4633#Enhanced_Archer_Skeleton_Card#		//		°­È­¾ÆÃÄ½ºÄÌÅæÄ«µå				|		Enhanced Archer Skeleton Card
4634#Enhanced_Soldier_Skeleton_Card#	//		°­È­¼ÖÁ®½ºÄÌÅæÄ«µå				|		Enhanced Soldier Skeleton Card
4635#Enhanced_Amdarais_Card#			//		°­È­¾Ï´Ù¶óÀÌ½ºÄ«µå				|		Enhanced Amdarais Card
4636#Bijou_Card#						//		ºñÁêÄ«µå					|		Bijou Card
4637#Immortal_Corps_Card#				//		ºÒ»çÀÇ±º´ÜÄ«µå				|		Immortal Corps Card
4638#Watcher_Card#						//		¿ÍÃÄÄ«µå					|		Watcher Card
4639#Taffy_Card#						//		ÅÂÇÇÄ«µå					|		Taffy Card
4640#Frozen_Wolf_Card#					//		ÇÁ·ÎÁð¿ïÇÁÄ«µå				|		Frozen Wolf Card
4641#Zombie_Guard_Card#					//		µÇ»ì¾Æ³­°æºñº´Ä«µå				|		Zombie Guard Card
4642#Min_Toad_Card#						//		¹«ÇÑÅäµåÄ«µå					|		Infinite Toad Card
4643#Min_Vagabond_Wolf_Card#			//		¹«ÇÑ¶°µ¹ÀÌ´Á´ëÄ«µå				|		Infinite Vagabond Wolf Card
4644#Min_Vocal_Card#					//		¹«ÇÑº¸ÄÃÄ«µå					|		Infinite Vocal Card
4645#Min_Eclipse_Card#					//		¹«ÇÑÀÌÅ¬¸³½ºÄ«µå				|		Infinite Eclipse Card
4646#Min_Chimera_Card#					//		¹«ÇÑÅ°¸Þ¶óÄ«µå				|		Infinite Chimera Card
4647#Min_Osiris_Card#					//		¹«ÇÑ¿À½Ã¸®½ºÄ«µå				|		Infinite Osiris Card
4648#Min_Eddga_Card#					//		¹«ÇÑ¿¡µå°¡Ä«µå				|		Infinite Eddga Card
4649#Min_Phreeoni_Card#					//		¹«ÇÑÇÁ¸®¿À´ÏÄ«µå				|		Infinite Phreeoni Card
4650#Min_Orc_Hero_Card#					//		¹«ÇÑ¿ÀÅ©È÷¾î·ÎÄ«µå				|		Infinite Orc Hero Card
4651#Min_Tao_Gunka_Card#				//		¹«ÇÑÅ¸¿À±ºÄ«Ä«µå				|		Carta Tao Gunka Infinita
4652#N_Amon_Ra_Card#					//		±×·¹ÀÌºê¾Æ¸ó¶óÄ«µå				|		Nightmare Amon Ra Card
4653#N_Arclouse_Card#					//		±×·¹ÀÌºê¾ÆÅ©¶ó¿ì½ºÄ«µå			|		Nightmare Arclouse Card
4654#N_Mimic_Card#						//		±×·¹ÀÌºê¹Ì¹ÍÄ«µå				|		Nightmare Mimic Card
4655#N_Minorous_Card#					//		±×·¹ÀÌºê¸¶ÀÌ³ÊÄ«µå				|		Nightmare Minorous Card
4656#N_Mummy_Card#						//		±×·¹ÀÌºê¹ÌÀÌ¶óÄ«µå				|		Nightmare Mummy Card
4657#N_Ancient_Mummy_Card#				//		±×·¹ÀÌºê¿£¼ÇÆ®¹Ì¶óÄ«µå			|		Nightmare Ancient Mummy Card
4658#N_Verit_Card#						//		±×·¹ÀÌºêº£¸´Æ®Ä«µå				|		Nightmare Verit Card
4659#Eggring_Card#						//		¿¡±×¸µÄ«µå					|		Eggring Card
4660#Scout_Basilisk_Card#				//		µ¹°Ý¹ÙÁú¸®½ºÅ©Ä«µå				|		Scout Basilisk Card
4661#Charge_Basilisk_Card#				//		Á¤Âû¹ÙÁú¸®½ºÅ©Ä«µå				|		Charge Basilisk Card
4662#Big_Eggring_Card#					//		´ëÇü¿¡±×¸µÄ«µå				|		Big Eggring Card
4663#Leaf_Lunatic_Card#					//		¸®ÇÁ·ç³ªÆ½Ä«µå				|		Leaf Lunatic Card
4664#Grass_Fabre_Card#					//		±×·¡½ºÆÄºê¸£Ä«µå				|		Carta Tao Gunka Selada
4665#Wild_Hornet_Card#					//		¿ÍÀÏµåÈ£³ÝÄ«µå				|		Wild Hornet Card
4666#Sweet_Roda_Frog_Card#				//		½ºÀ§Æ®·Î´ÙÇÁ·Î±×Ä«µå				|		Swift Roda Frog Card
4667#Hunter_Wolf_Card#					//		ÇåÅÍµ¥ÀúÆ®¿ïÇÁÄ«µå				|		Hunter Wolf Card
4668#Trance_Spore_Card#					//		Æ®·£½º½ºÆ÷¾ÆÄ«µå				|		Trance Spore Card
4669#Jungle_Mandragora_Card#			//		Á¤±Û¸¸µå¶ó°í¶óÄ«µå				|		Jungle Mandragora Card
4670#Fruit_Pom_Spider_Card#				//		ÇÁ·çÃ÷Æû½ºÆÄÀÌ´õÄ«µå				|		Fruit Pom Spider
4671#V_B_Celia_Card#					//		¼Ò¼­·¯Ä«µå					|		Sorcerer Celia Card
4672#V_B_Chen_Card#						//		¼ö¶óÄ«µå					|		Sura Chen Card
4673#V_B_Alphoccio_Card#				//		¹Î½ºÆ®·²Ä«µå					|		Minstrel Alphoccio Card
4674#V_B_Eremes_Card#					//		±æ·ÎÆ¾Å©·Î½ºÄ«µå				|		Carta Sicario Eremes
4675#V_B_Magaleta_Card#					//		¾ÆÅ©ºñ¼óÄ«µå					|		Arch Bishop Magaleta Card
4676#V_B_Shecil_Card#					//		·¹ÀÎÀúÄ«µå					|		Ranger Cecil Card
4677#V_B_Howard_Card#					//		¹ÌÄÉ´ÐÄ«µå					|		Merchanic Howard Card
4678#V_B_Katrinn_Card#					//		¿ö·ÏÄ«µå					|		Warlock Kathryne Card
4679#V_B_Seyren_Card#					//		·é³ªÀÌÆ®Ä«µå					|		Rune Knight Seyren Card
4680#V_B_Randel_Card#					//		·Î¿­°¡µåÄ«µå					|		Royal Guard Randel Card
4681#V_B_Flamel_Card#					//		Á¦³×¸¯Ä«µå					|		Genetic Flamel Card
4682#V_B_Gertie_Card#					//		½¦µµ¿ìÃ¼ÀÌ¼­Ä«µå				|		Shadow Chaser Gertie Card
4683#V_B_Trentini_Card#					//		¿ø´õ·¯Ä«µå					|		Wanderer Trentini Card
4684#V_Eremes_Card#						//		Áø¿¡·¹¸Þ½º°¡ÀÏÄ«µå				|		True Eremes Guile Card
4685#V_Magaleta_Card#					//		Áø¸¶°¡·¹Å¸¼Ò¸°Ä«µå				|		True Margaretha Sorin Card
4686#V_Katrinn_Card#					//		ÁøÄ«Æ®¸°´ÀÄÉÀÌ·ÐÄ«µå				|		True Kathryne Keyron Card
4687#V_Shecil_Card#						//		Áø¼Î½Çµð¸ÕÄ«µå				|		True Cecil Damon Card
4688#V_Harword_Card#					//		ÁøÇÏ¿öµå¾ËÆ®¾ÆÀÌÁ¨Ä«µå			|		True Howard Alt-Eisen Card
4689#V_Seyren_Card#						//		Áø¼¼ÀÌ·»À©ÀúÄ«µå				|		True Seyren Windsor Card
4690#V_Randel_Card#						//		Áø·£´Þ·Î·»½ºÄ«µå				|		True Randel Lawrence Card
4691#V_Flamel_Card#						//		ÁøÇÃ¶ó¸áÀÌ¹ÄÄ«µå				|		True Flamel Emure Card
4692#V_Celia_Card#						//		Áø½Ç¸®¾Æ¾Ëµ¥Ä«µå				|		True Celia Alde Card
4693#V_Chen_Card#						//		ÁøÃ¾¸®¿ìÄ«µå					|		True Chen Liu Card
4694#V_Gertie_Card#						//		Áø°ÅÆ¼À§Ä«µå					|		True Gertie Card
4695#V_Trentini_Card#					//		ÁøÆ®·»Æ¼´ÏÄ«µå				|		True Trentini Card
4696#V_Alphoccio_Card#					//		Áø¾Æ¸£º¸Ä¡¿À¹Ù½ÇÄ«µå				|		True Alphoccio Card
4697#Charleston3_Card#					//		Âû½ºÅÏÄ«µå					|		Charleston3 Card
4698#Step_Card#							//		½ºÅÜÄ«µå					|		Step Card
4699#Rock_Step_Card#					//		¶ô½ºÅÜÄ«µå					|		Rock Step Card
//27000#Sem_DB#							//		Àå½ÄµÈ¾Ç·É³ª¹«Ä«µå				|
//27001#Sem_DB#							//		Æ÷¾ÇÇØÁøÄíÅ°Ä«µå				|
//27002#Sem_DB#							//		¾Ç·É±êµç»óÀÚÄ«µå				|
//27003#Sem_DB#							//		¼¶¶àÇÑ¾Ç·ÉÄ«µå				|
//27004#Sem_DB#							//		¾ÇÀÇ¿¡ÂùÀ¯·ÉÄ«µå				|
//27005#Sem_DB#							//		ÃãÃß´Â¸¶¸®¿À³×Æ®Ä«µå				|
//27006#Sem_DB#							//		¹ö·ÁÁø°õÀÎÇüÄ«µå				|
//27007#Sem_DB#							//		¼¿¸°´ÀÅ°¹ÌÄ«µå				|
//27008#Sem_DB#							//		°¢¼º¾Ï´Ù¶óÀÌ½ºÄ«µå				|
//27009#Sem_DB#							//		°¢¼ºÅ¸¶ôÇÑ»Ñ¸®Ä«µå				|
//27010#Sem_DB#							//		¹é»öÀÇ±â»ç´ÜÄ«µå				|
//27011#Sem_DB#							//		Ä®¸®Ã÷±â»ç´ÜÄ«µå				|
//27012#ÀÚ¸¶´Ù¸£#
//27012#ÀÌ¸§¾ø´ÂÄ«µå#
//27013#ÀÌ¸§¾ø´ÂÄ«µå#
//27013#µîµÚ¸¦º£´ÂÀÚ#
//27014#ÀÎ¹ö½º½ºÄÉ¾î#
//27014#ÀÌ¸§¾ø´ÂÄ«µå#
//27015#Ç÷·ç#
//27015#ÀÌ¸§¾ø´ÂÄ«µå#
//27016#ÀÌ¸§¾ø´ÂÄ«µå#
//27016#¹Ù¸®¾î½ºÁê¸£#
//27017#¹èÆ²¾×½º#
//27017#ÀÌ¸§¾ø´ÂÄ«µå#
//27018#¿öÇØ¸Ó#
//27018#ÀÌ¸§¾ø´ÂÄ«µå#
//27019#ÅõÇÚµå¾×½º#
//27019#ÀÌ¸§¾ø´ÂÄ«µå#
//27020#ÇÏÆ®ºê·¹ÀÌÄ¿#
//27020#ÀÌ¸§¾ø´ÂÄ«µå#
//27021#ÀÌ¸§¾ø´ÂÄ«µå#
//27021#Çã¸®ÄÉÀÎÇ»¸®#
//27022#ÀÌ¸§¾ø´ÂÄ«µå#
//27022#À§ÀÚµå¸®½ºÅÂÇÁ#
//27023#ºí·¹ÀÌµå#
//27023#ÀÌ¸§¾ø´ÂÄ«µå#
//27024#Ã÷·ç±â#
//27024#ÀÌ¸§¾ø´ÂÄ«µå#
27012#Kick_Step_Card#					//		Å±½ºÅÜÄ«µå					|		Kick Step Card
27013#Kick_&_Kick_Card#					//		Å±¾ØÅ±Ä«µå					|		Kick & Kick Card
27014#Green_Cenere_Card#				//		±×¸°Ã¼³×·¹Ä«µå				|		Green Cenere Card
27015#Repair_Robot_Turbo_Card#			//		¼ö¸®·Îº¿ÅÍº¸Ä«µå				|		Repair Robot Turbo Card
27016#Exploration_Rover_Turbo_Card#		//		Å½»ç·Îº¿ÅÍº¸Ä«µå				|		Exploration Rover Turbo Card
27017#Scrap_Robots_Card#				//		°íÃ¶·Îº¿Ä«µå					|		Scrap Robots Card
27018#GC109_Card#						//		GC109Ä«µå					|		GC109 Card
27019#DR815_Card#						//		DR815Ä«µå					|		DR815 Card
27020#T_W_O_Card#						//		T_W_OÄ«µå					|		T W O Card
//27021#Sem_DB#							//		jp_ev03					|
//27022#Sem_DB#							//		jp_ev04					|
//27023#Sem_DB#							//		jp_ev05					|
//27024#Sem_DB#							//		jp_ev06					|
//27031#Sem_DB#							//		¹Ì±ÃÀÇ¹ÙÆ÷¸ÞÆ®Ä«µå				|
//27032#Sem_DB#							//		¹Ì±ÃÀÇµå¶óÅ¥¶óÄ«µå				|
//27033#Sem_DB#							//		ºÒ¸êÀÇÀúÁÖ¹ÞÀº±â»çÄ«µå			|
//27034#Sem_DB#							//		ºÒ¸êÀÇÀ©µå°í½ºÆ®Ä«µå				|
//27035#Sem_DB#							//		½ºÅ×ÆÇÄ«µå					|
//27036#Sem_DB#							//		°­È­½ºÄÌ·¹ÅæÄ«µå				|
//27037#Sem_DB#							//		°­È­¾ÆÃÄ½ºÄÌÅæÄ«µå				|
//27038#Sem_DB#							//		°­È­¼ÖÁ®½ºÄÌÅæÄ«µå				|
//27039#Sem_DB#							//		°­È­¾Ï´Ù¶óÀÌ½ºÄ«µå				|
//27040#Sem_DB#							//		ºñÁêÄ«µå					|
//27041#Sem_DB#							//		ºÒ»çÀÇ±º´ÜÄ«µå				|
//27042#Sem_DB#							//		¿ÍÃÄÄ«µå					|
//27043#Sem_DB#							//		ÅÂÇÇÄ«µå					|
//27044#Sem_DB#							//		ÇÁ·ÎÁð¿ïÇÁÄ«µå				|
//27045#Sem_DB#							//		µÇ»ì¾Æ³­°æºñº´Ä«µå				|
//27046#Sem_DB#							//		sorry					|
//27047#Sem_DB#							//		sorry					|
//27048#Sem_DB#							//		sorry					|
//27049#Sem_DB#							//		sorry					|
//27050#Sem_DB#							//		¾Ö´Ï¹ö¼­¸®Ä«µå1				|
//27051#Sem_DB#							//		¾Ö´Ï¹ö¼­¸®Ä«µå2				|
//27052#Sem_DB#							//		¾Ö´Ï¹ö¼­¸®Ä«µå3				|
//27053#Sem_DB#							//		¾Ö´Ï¹ö¼­¸®Ä«µå4				|
//27054#Sem_DB#							//		¾Ö´Ï¹ö¼­¸®Ä«µå5				|
//27055#Sem_DB#							//		¼Ò¼­·¯Ä«µå					|
//27056#Sem_DB#							//		¼ö¶óÄ«µå					|
//27057#Sem_DB#							//		¹Î½ºÆ®·²Ä«µå					|
//27058#Sem_DB#							//		±æ·ÎÆ¾Å©·Î½ºÄ«µå				|
//27059#Sem_DB#							//		¾ÆÅ©ºñ¼óÄ«µå					|
//27060#Sem_DB#							//		·¹ÀÎÀúÄ«µå					|
//27061#Sem_DB#							//		¹ÌÄÉ´ÐÄ«µå					|
//27062#Sem_DB#							//		¿ö·ÏÄ«µå					|
//27063#Sem_DB#							//		·é³ªÀÌÆ®Ä«µå					|
//27064#Sem_DB#							//		·Î¿­°¡µåÄ«µå					|
//27065#Sem_DB#							//		Á¦³×¸¯Ä«µå					|
//27066#Sem_DB#							//		½¦µµ¿ìÃ¼ÀÌ¼­Ä«µå				|
//27067#Sem_DB#							//		¿ø´õ·¯Ä«µå					|
//27068#Sem_DB#							//		Áø¿¡·¹¸Þ½º°¡ÀÏÄ«µå				|
//27069#Sem_DB#							//		Áø¸¶°¡·¹Å¸¼Ò¸°Ä«µå				|
//27070#Sem_DB#							//		ÁøÄ«Æ®¸°´ÀÄÉÀÌ·ÐÄ«µå				|
//27071#Sem_DB#							//		Áø¼Î½Çµð¸ÕÄ«µå				|
//27072#Sem_DB#							//		ÁøÇÏ¿öµå¾ËÆ®¾ÆÀÌÁ¨Ä«µå			|
//27073#Sem_DB#							//		Áø¼¼ÀÌ·»À©ÀúÄ«µå				|
//27074#Sem_DB#							//		Áø·£´Þ·Î·»½ºÄ«µå				|
//27075#Sem_DB#							//		ÁøÇÃ¶ó¸áÀÌ¹ÄÄ«µå				|
//27076#Sem_DB#							//		Áø½Ç¸®¾Æ¾Ëµ¥Ä«µå				|
//27077#Sem_DB#							//		ÁøÃ¾¸®¿ìÄ«µå					|
//27078#Sem_DB#							//		Áø°ÅÆ¼À§Ä«µå					|
//27079#Sem_DB#							//		ÁøÆ®·»Æ¼´ÏÄ«µå				|
//27080#Sem_DB#							//		Áø¾Æ¸£º¸Ä¡¿À¹Ù½ÇÄ«µå				|
//27089#Sem_DB#							//		T_W_OÄ«µå					|
//27090#Sem_DB#							//		DR815Ä«µå					|
//27091#Sem_DB#							//		GC109Ä«µå					|
//27092#Sem_DB#							//		Âû½ºÅÏÄ«µå					|
//27093#Sem_DB#							//		Å±½ºÅÜÄ«µå					|
//27094#Sem_DB#							//		¶ô½ºÅÜÄ«µå					|
//27095#Sem_DB#							//		½ºÅÜÄ«µå					|
//27096#Sem_DB#							//		Å±¾ØÅ±Ä«µå					|
//27097#Sem_DB#							//		±×¸°Ã¼³×·¹Ä«µå				|
//27098#Sem_DB#							//		¼ö¸®·Îº¿ÅÍº¸Ä«µå				|
//27099#Sem_DB#							//		Å½»ç·Îº¿ÅÍº¸Ä«µå				|
//27100#Sem_DB#							//		°íÃ¶·Îº¿Ä«µå					|
//27120#Sem_DB#							//		ÀÌ¾Æ¶óÄ«µå					|
//27121#Sem_DB#							//		ÇÇ¶ó´Ï¾ÆÄ«µå					|
//27122#Sem_DB#							//		Äí·çÇÇ¶óÄ«µå					|
//27123#Sem_DB#							//		ÅõÄ­Ä«µå					|
//27124#Sem_DB#							//		Àç±Ô¾îÄ«µå					|
//27125#Sem_DB#							//		¸Ó¸®¾ø´Â¸»Ä«µå				|
//27126#Sem_DB#							//		º¸ÀÌÅ¸Å¸Ä«µå					|
//29012#Sem_DB#							//		sorry					|
//29042#Sem_DB#							//		sorry					|
//29043#Sem_DB#							//		sorry					|
//29044#Sem_DB#							//		sorry					|
//29045#Sem_DB#							//		sorry					|
//29058#Sem_DB#							//		sorry					|
//29059#Sem_DB#							//		sorry					|
//29060#Sem_DB#							//		sorry					|
//29127#Sem_DB#							//		sorry					|
//29128#Sem_DB#							//		sorry					|
//29129#Sem_DB#							//		sorry					|
//29130#Sem_DB#							//		sorry					|
//29131#Sem_DB#							//		sorry					|
//29132#Sem_DB#							//		sorry					|
//29133#Sem_DB#							//		sorry					|
//29134#Sem_DB#							//		sorry					|
//29135#Sem_DB#							//		sorry					|
//29136#Sem_DB#							//		sorry					|
//29137#Sem_DB#							//		sorry					|
//29138#Sem_DB#							//		sorry					|
//29139#Sem_DB#							//		sorry					|
//29140#Sem_DB#							//		sorry					|
//29141#Sem_DB#							//		sorry					|
//29166#Sem_DB#							//		sorry					|
//29167#Sem_DB#							//		sorry					|
//29168#Sem_DB#							//		sorry					|
//29169#Sem_DB#							//		sorry					|
//29170#Sem_DB#							//		sorry					|
//29171#Sem_DB#							//		sorry					|
//29172#Sem_DB#							//		sorry					|
//29173#Sem_DB#							//		sorry					|
//29174#Sem_DB#							//		sorry					|
//29175#Sem_DB#							//		sorry					|
//29176#Sem_DB#							//		sorry					|
//29177#Sem_DB#							//		sorry					|
//29178#Sem_DB#							//		sorry					|
//29179#Sem_DB#							//		sorry					|
//29180#Sem_DB#							//		sorry					|
//29181#Sem_DB#							//		sorry					|
//29182#Sem_DB#							//		sorry					|
//29183#Sem_DB#							//		sorry					|
//29184#Sem_DB#							//		sorry					|
//29185#Sem_DB#							//		sorry					|
//29186#Sem_DB#							//		sorry					|
//29187#Sem_DB#							//		sorry					|
//29188#Sem_DB#							//		sorry					|
//29189#Sem_DB#							//		sorry					|
//29190#Sem_DB#							//		sorry					|
//29191#Sem_DB#							//		sorry					|
//29192#Sem_DB#							//		sorry					|
//29193#Sem_DB#							//		sorry					|
//29194#Sem_DB#							//		sorry					|
//29195#Sem_DB#							//		sorry					|
//29196#Sem_DB#							//		sorry					|
//29197#Sem_DB#							//		sorry					|
//29198#Sem_DB#							//		sorry					|
//29199#Sem_DB#							//		sorry					|
//29200#Sem_DB#							//		sorry					|
//29201#Sem_DB#							//		sorry					|
//29202#Sem_DB#							//		sorry					|
//29203#Sem_DB#							//		sorry					|
//29204#Sem_DB#							//		sorry					|
//29205#Sem_DB#							//		sorry					|
//29206#Sem_DB#							//		sorry					|
//29207#Sem_DB#							//		sorry					|
//29212#Sem_DB#							//		sorry					|
//29213#Sem_DB#							//		sorry					|
//29214#Sem_DB#							//		sorry					|
//29215#Sem_DB#							//		sorry					|
//29216#Sem_DB#							//		sorry					|
//29217#Sem_DB#							//		sorry					|
//29218#Sem_DB#							//		sorry					|
//29219#Sem_DB#							//		sorry					|
//29220#Sem_DB#							//		sorry					|
//29221#Sem_DB#							//		sorry					|
//29222#Sem_DB#							//		sorry					|
//29223#Sem_DB#							//		sorry					|
//29230#Sem_DB#							//		jp_ev02					|
//29231#Sem_DB#							//		sorry					|
//29232#Sem_DB#							//		sorry					|
//29233#Sem_DB#							//		sorry					|
//29234#Sem_DB#							//		sorry					|
//29235#Sem_DB#							//		sorry					|
//29236#Sem_DB#							//		sorry					|
//29237#Sem_DB#							//		sorry					|
//29238#Sem_DB#							//		sorry					|
//29239#Sem_DB#							//		sorry					|
//29240#Sem_DB#							//		sorry					|
//29241#Sem_DB#							//		sorry					|
//29242#Sem_DB#							//		sorry					|
//29243#Sem_DB#							//		sorry					|
//29244#Sem_DB#							//		sorry					|
//29245#Sem_DB#							//		sorry					|
//29246#Sem_DB#							//		sorry					|
//29247#Sem_DB#							//		sorry					|
//29248#Sem_DB#							//		sorry					|
//29249#Sem_DB#							//		sorry					|
//29250#Sem_DB#							//		sorry					|
//29251#Sem_DB#							//		sorry					|
//29252#Sem_DB#							//		sorry					|
//29253#Sem_DB#							//		sorry					|
//29254#Sem_DB#							//		sorry					|
//29255#Sem_DB#							//		sorry					|
//29256#Sem_DB#							//		sorry					|
//29257#Sem_DB#							//		sorry					|
//29258#Sem_DB#							//		sorry					|
//29259#Sem_DB#							//		sorry					|
//29260#Sem_DB#							//		sorry					|
//29261#Sem_DB#							//		sorry					|
